20/01/13 14:14
プロジェクトの翻訳状況

            	   分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	154678	779904	   8923897	   9269946	  181	
未翻訳：        	143788	760305	   8693110	   9029927	  181	
繰り返しを除いた：   	104994	633300	   7442779	   7751999	  181	
繰り返しを除いた未翻訳：	104903	633098	   7441466	   7750580	  181	


ファイルごとの翻訳状況：

ファイル名                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
algorithm.html          	    668	   571	        390	           370	   4601	  4434	       3607	          3567	         61993	        60551	             53521	                53271	         64315	        62803	             55439	                55169	
apis.html               	    129	   128	        114	           114	    525	   522	        336	           336	          3799	         3787	              2007	                 2007	          4029	         4015	              2231	                 2231	
assertions.html         	     92	    73	         54	            53	    603	   574	        377	           375	          6602	         6334	              4404	                 4376	          6787	         6507	              4579	                 4548	
asyncdispatch.html      	    847	   807	        582	           582	   5099	  5027	       4321	          4321	         59586	        58718	             50800	                50800	         62261	        61353	             53286	                53286	
asyncfile.html          	    258	   238	        142	           142	   1434	  1402	       1006	          1006	         18128	        17820	             13635	                13635	         18649	        18325	             14069	                14069	
asyncftpclient.html     	    467	   448	        287	           287	   2414	  2384	       1844	          1844	         33367	        33087	             25353	                25353	         34486	        34193	             26355	                26355	
asyncfutures.html       	    431	   394	        266	           266	   2425	  2359	       1837	          1837	         26866	        26082	             20854	                20854	         27760	        26935	             21611	                21611	
asynchttpserver.html    	    281	   262	        185	           185	   1215	  1186	        890	           890	         17211	        16987	             13942	                13942	         17743	        17509	             14454	                14454	
asyncjs.html            	    116	   102	         63	            63	    733	   713	        474	           474	          7537	         7397	              5188	                 5188	          7843	         7697	              5472	                 5472	
asyncnet.html           	    531	   502	        308	           308	   3234	  3184	       2321	          2321	         39349	        38789	             30330	                30330	         41055	        40470	             31640	                31640	
asyncstreams.html       	    146	   130	         81	            81	    944	   920	        624	           624	          9044	         8848	              6125	                 6125	          9391	         9187	              6425	                 6425	
backends.html           	    258	   249	        198	           195	   2656	  2644	       2373	          2370	         20759	        20675	             17414	                17387	         22906	        22819	             19504	                19477	
base64.html             	    116	    93	         55	            55	    705	   668	        417	           417	          7708	         7465	              5096	                 5096	          8013	         7756	              5358	                 5358	
bitops.html             	    405	   386	        241	           241	   2439	  2410	       1867	          1867	         28016	        27755	             21969	                21969	         28930	        28649	             22757	                22757	
browsers.html           	     49	    38	         17	            17	    331	   315	        122	           122	          3057	         2955	              1084	                 1084	          3142	         3035	              1162	                 1162	
cgi.html                	    536	   515	        377	           376	   2840	  2810	       2385	          2384	         38125	        37867	             33668	                33659	         39291	        39020	             34762	                34753	
chains.html             	     50	    37	         21	            21	    352	   332	        141	           141	          3073	         2907	              1087	                 1087	          3119	         2946	              1125	                 1125	
channels.html           	    130	   113	         87	            87	    921	   895	        667	           667	          8505	         8281	              6159	                 6159	          8842	         8609	              6474	                 6474	
codeowners.html         	     90	    88	         61	            61	    339	   334	        124	           124	          2724	         2697	               801	                  801	          2799	         2769	               863	                  863	
colors.html             	   1326	  1162	       1091	          1091	   5857	  5539	       5240	          5240	         56019	        51717	             48914	                48914	         57127	        52671	             49855	                49855	
complex.html            	    772	   736	        465	           465	   4200	  4138	       3300	          3300	         42814	        42096	             34609	                34609	         43840	        43070	             35447	                35447	
contributing.html       	    353	   346	        279	           279	   2969	  2959	       2643	          2643	         25806	        25751	             22251	                22251	         28236	        28178	             24594	                24594	
cookies.html            	     72	    60	         30	            30	    477	   460	        230	           230	          5379	         5269	              3080	                 3080	          5552	         5437	              3233	                 3233	
coro.html               	    125	   111	         74	            74	    688	   668	        444	           444	          6951	         6811	              4665	                 4665	          7199	         7049	              4889	                 4889	
